"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Login","0","Login","1","0","Fails reset password when using wrong email","0"
"7","Contacts","0","Contacts","0","0","contact - Create new contact","0"
"2","Contract","0","Contract","0","0","Create a Valid contract","0"
"3","Contract","0","Contract","0","0","Renew contract","0"
"0","Contract","3","Contract","0","0","Versionning contract","0"
"0","Login","0","Login","1","0","Login with invalid credentials","0"
"2","Contract","1","Contract","0","0","Move contract status into Archived","0"
"3","Contract","0","Contract","0","0","Move contract status into Error","0"
"1","","0","","0","0","","0"
"0","Login","0","Login","1","0","Reset password when using  Inactif email","0"
"1","Supplier","0","Supplier","0","0","Supplier - Create new supplier","0"
"0","Login","0","Login","1","0","Login with valid credentials","0"
"0","Login","0","Login","1","0","Login with inactif credentials","0"
"1","Login","0","Login","0","0","Sent password Reset correctly with valid email","0"
