"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7290","A2SQA2-2527 | @P0 @Login Reset password when using Inactif email","preprod","2025-12-25","failed","2025-12-25","Reset Password:","login/Forgot-password.spec.ts","",""
"","30087","2SQA2-2560 | @P0 Move contract status from Valid into Error","preprod","2025-12-25","broken","2025-12-25","Move Contract into Error","Contracts/EditContract.spec.ts","",""
"","8077","A2SQA2-2281 | @P0 @Contact Should create Contact for: Business Developer","preprod","2025-12-25","failed","2025-12-25","@P0 @Contacts : Profil [Business Developer]","contacts/CreateContact.spec.ts","",""
"","30082","2SQA2-2567 | @P0 Move contract status from valid into Archived","preprod","2025-12-25","broken","2025-12-25","Move Contract into Archived  ","Contracts/EditContract.spec.ts","",""
"","7895","A2SQA2-2279 | @P0 @Contact Should create Contact for: Area Admin","preprod","2025-12-25","failed","2025-12-25","@P0 @Contacts : Profil [Area Admin]","contacts/CreateContact.spec.ts","",""
"","2233","A2SQA2-2524 | @P0 @Login Login with invalid credentials","preprod","2025-12-25","passed","2025-12-25","Login Tests","login/login.spec.ts","",""
"","7748","A2SQA2-2280 | @P0 @Contact Should create Contact for: Support","preprod","2025-12-25","failed","2025-12-25","@P0 @Contacts : Profil [Support]","contacts/CreateContact.spec.ts","",""
"","30076","A2SQA2-2573 | @P0 Renew To Renew Contract","preprod","2025-12-25","broken","2025-12-25","Renew Contract ","Contracts/EditContract.spec.ts","",""
"","7891","A2SQA2-2278 | @P0 @Contact Should create Contact for: Central Admin","preprod","2025-12-25","failed","2025-12-25","@P0 @Contacts : Profil [Central Admin]","contacts/CreateContact.spec.ts","",""
"","30076","A2SQA2-2573 | @P0 Renew Expired Contract","preprod","2025-12-25","broken","2025-12-25","Renew Contract ","Contracts/EditContract.spec.ts","",""
"","8042","A2SQA2-2525 | @P0 @Login Sent password Reset correctly with valid email","preprod","2025-12-25","failed","2025-12-25","Reset Password:","login/Forgot-password.spec.ts","",""
"","31250","A2SQA2-2582 | @P0 Create a Valid Contract with End date less than 6 months","preprod","2025-12-25","broken","2025-12-25","Create Contract ","Contracts/CreateContract.spec.ts","",""
"","30081","2SQA2-2566 | @P0 Move contract status from To renew into Archived","preprod","2025-12-25","broken","2025-12-25","Move Contract into Archived  ","Contracts/EditContract.spec.ts","",""
"","30076","2SQA2-2562 | @P0 Move contract status from to renew into Error","preprod","2025-12-25","broken","2025-12-25","Move Contract into Error","Contracts/EditContract.spec.ts","",""
"","30083","2SQA2-2561 | @P0 Move contract status from Expired into Error","preprod","2025-12-25","broken","2025-12-25","Move Contract into Error","Contracts/EditContract.spec.ts","",""
"","31202","A2SQA2-2546 | @P0 @supplier Create new supplier","preprod","2025-12-25","broken","2025-12-25","Suppliers module","suppliers/createsuplier.spec.ts","",""
"","31220","A2SQA2-2569 | @P0 Versionning Expired Contract","preprod","2025-12-25","broken","2025-12-25","Versionning Contract ","Contracts/EditContract.spec.ts","",""
"","7694","A2SQA2-2282 | @P0 @Contact Should create Contact for: Buyer","preprod","2025-12-25","failed","2025-12-25","@P0 @Contacts : Profil [Buyer]","contacts/CreateContact.spec.ts","",""
"","30084","2SQA2-2568 | @P0 Move contract status from Expired into Archived","preprod","2025-12-25","broken","2025-12-25","Move Contract into Archived  ","Contracts/EditContract.spec.ts","",""
"","7553","A2SQA2-2522 | @P0 @Login Login with valid credentials","preprod","2025-12-25","failed","2025-12-25","Login Tests","login/login.spec.ts","",""
"","31262","A2SQA2-2570 | @P0 Versionning Valid Contract","preprod","2025-12-25","broken","2025-12-25","Versionning Contract ","Contracts/EditContract.spec.ts","",""
"","7917","A2SQA2-2283 | @P0 @Contact Should create Contact for: client","preprod","2025-12-25","failed","2025-12-25","@P0 @Contacts : Profil [client]","contacts/CreateContact.spec.ts","",""
"","2193","A2SQA2-2526 | @P0 @Login Fails reset password when using wrong email","preprod","2025-12-25","passed","2025-12-25","Reset Password:","login/Forgot-password.spec.ts","",""
"","31239","A2SQA2-2571 | @P0 Versionning To renew Contract","preprod","2025-12-25","broken","2025-12-25","Versionning Contract ","Contracts/EditContract.spec.ts","",""
"","8063","A2SQA2-2601 | @P0 Create and Launch declarative campaign","preprod","2025-12-25","failed","2025-12-25","Declarative Campaigns Tests","DeclarativeCompaigns/DeclarativeCompaigns.spec.ts","",""
"","2185","A2SQA2-2523 | @P0 @Login Login with inactif credentials","preprod","2025-12-25","passed","2025-12-25","Login Tests","login/login.spec.ts","",""
"","31283","A2SQA2-2583 | @P0 Create a Valid Contract with End date more than 6 months","preprod","2025-12-25","broken","2025-12-25","Create Contract ","Contracts/CreateContract.spec.ts","",""
"","7961","A2SQA2-2284 | @P0 @Contact Should create Contact for: Supplier","preprod","2025-12-25","failed","2025-12-25","@P0 @Contacts : Profil [Supplier]","contacts/CreateContact.spec.ts","",""
"","30075","A2SQA2-2572 | @P0 Renew Valid Contract","preprod","2025-12-25","broken","2025-12-25","Renew Contract ","Contracts/EditContract.spec.ts","",""
