"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2108","A2SQA2-2526 | @P0 @Login Fails reset password when using wrong email","preprod","2026-01-01","passed","2026-01-01","Reset Password:","login/Forgot-password.spec.ts","",""
"","26809","A2SQA2-2583 | @P0 Create a Valid Contract with End date more than 6 months","preprod","2026-01-01","passed","2026-01-01","Create Contract ","Contracts/CreateContract.spec.ts","",""
"","30836","A2SQA2-2573 | @P0 Renew To Renew Contract","preprod","2026-01-01","broken","2026-01-01","Renew Contract ","Contracts/EditContract.spec.ts","",""
"","17263","2SQA2-2566 | @P0 Move contract status from To renew into Archived","preprod","2026-01-01","failed","2026-01-01","Move Contract into Archived  ","Contracts/EditContract.spec.ts","",""
"","16989","A2SQA2-2546 | @P0 @supplier Create new supplier","preprod","2026-01-01","passed","2026-01-01","Suppliers module","suppliers/createsuplier.spec.ts","",""
"","21349","A2SQA2-2282 | @P0 @Contact Should create Contact for: Buyer","preprod","2026-01-01","passed","2026-01-01","@P0 @Contacts : Profil [Buyer]","contacts/CreateContact.spec.ts","",""
"","21520","A2SQA2-2281 | @P0 @Contact Should create Contact for: Business Developer","preprod","2026-01-01","passed","2026-01-01","@P0 @Contacts : Profil [Business Developer]","contacts/CreateContact.spec.ts","",""
"","13672","A2SQA2-2525 | @P0 @Login Sent password Reset correctly with valid email","preprod","2026-01-01","failed","2026-01-01","Reset Password:","login/Forgot-password.spec.ts","",""
"","21587","A2SQA2-2283 | @P0 @Contact Should create Contact for: client","preprod","2026-01-01","passed","2026-01-01","@P0 @Contacts : Profil [client]","contacts/CreateContact.spec.ts","",""
"","9907","A2SQA2-2522 | @P0 @Login Login with valid credentials","preprod","2026-01-01","passed","2026-01-01","Login Tests","login/login.spec.ts","",""
"","22467","A2SQA2-2601 | @P0 Create and Launch declarative campaign","preprod","2026-01-01","passed","2026-01-01","Declarative Campaigns Tests","DeclarativeCompaigns/DeclarativeCompaigns.spec.ts","",""
"","24071","A2SQA2-2278 | @P0 @Contact Should create Contact for: Central Admin","preprod","2026-01-01","passed","2026-01-01","@P0 @Contacts : Profil [Central Admin]","contacts/CreateContact.spec.ts","",""
"","14864","2SQA2-2568 | @P0 Move contract status from Expired into Archived","preprod","2026-01-01","failed","2026-01-01","Move Contract into Archived  ","Contracts/EditContract.spec.ts","",""
"","19998","A2SQA2-2571 | @P0 Versionning To renew Contract","preprod","2026-01-01","failed","2026-01-01","Versionning Contract ","Contracts/EditContract.spec.ts","",""
"","13528","2SQA2-2560 | @P0 Move contract status from Valid into Error","preprod","2026-01-01","failed","2026-01-01","Move Contract into Error","Contracts/EditContract.spec.ts","",""
"","30884","A2SQA2-2573 | @P0 Renew Expired Contract","preprod","2026-01-01","broken","2026-01-01","Renew Contract ","Contracts/EditContract.spec.ts","",""
"","2072","A2SQA2-2524 | @P0 @Login Login with invalid credentials","preprod","2026-01-01","passed","2026-01-01","Login Tests","login/login.spec.ts","",""
"","15937","2SQA2-2567 | @P0 Move contract status from valid into Archived","preprod","2026-01-01","failed","2026-01-01","Move Contract into Archived  ","Contracts/EditContract.spec.ts","",""
"","18376","2SQA2-2561 | @P0 Move contract status from Expired into Error","preprod","2026-01-01","failed","2026-01-01","Move Contract into Error","Contracts/EditContract.spec.ts","",""
"","28199","A2SQA2-2570 | @P0 Versionning Valid Contract","preprod","2026-01-01","passed","2026-01-01","Versionning Contract ","Contracts/EditContract.spec.ts","",""
"","28781","A2SQA2-2582 | @P0 Create a Valid Contract with End date less than 6 months","preprod","2026-01-01","passed","2026-01-01","Create Contract ","Contracts/CreateContract.spec.ts","",""
"","7287","A2SQA2-2527 | @P0 @Login Reset password when using Inactif email","preprod","2026-01-01","failed","2026-01-01","Reset Password:","login/Forgot-password.spec.ts","",""
"","22312","A2SQA2-2279 | @P0 @Contact Should create Contact for: Area Admin","preprod","2026-01-01","passed","2026-01-01","@P0 @Contacts : Profil [Area Admin]","contacts/CreateContact.spec.ts","",""
"","22864","A2SQA2-2280 | @P0 @Contact Should create Contact for: Support","preprod","2026-01-01","passed","2026-01-01","@P0 @Contacts : Profil [Support]","contacts/CreateContact.spec.ts","",""
"","21923","A2SQA2-2284 | @P0 @Contact Should create Contact for: Supplier","preprod","2026-01-01","passed","2026-01-01","@P0 @Contacts : Profil [Supplier]","contacts/CreateContact.spec.ts","",""
"","16267","2SQA2-2562 | @P0 Move contract status from to renew into Error","preprod","2026-01-01","failed","2026-01-01","Move Contract into Error","Contracts/EditContract.spec.ts","",""
"","21109","A2SQA2-2569 | @P0 Versionning Expired Contract","preprod","2026-01-01","failed","2026-01-01","Versionning Contract ","Contracts/EditContract.spec.ts","",""
"","23626","A2SQA2-2572 | @P0 Renew Valid Contract","preprod","2026-01-01","passed","2026-01-01","Renew Contract ","Contracts/EditContract.spec.ts","",""
"","2040","A2SQA2-2523 | @P0 @Login Login with inactif credentials","preprod","2026-01-01","passed","2026-01-01","Login Tests","login/login.spec.ts","",""
